corp_code,year,account,cand_nm,cand_id,cand_value,is_pick
00185505,2021,재고자산,재고자산,ifrs-full_Inventories,5369203667,1
00185505,2021,매출채권,매출채권,dart_ShortTermTradeReceivable,3841355264,1
00267979,2019,매출액,수익(매출액),ifrs_Revenue,117025131894,1
00267979,2019,매출원가,매출원가,ifrs_CostOfSales,108606321577,1
00267979,2019,매출총이익,매출총이익,ifrs_GrossProfit,8418810317,1
00267979,2019,영업이익,영업이익(손실),dart_OperatingIncomeLoss,4087518966,1
00267979,2019,영업이익,계속영업이익(손실),ifrs_ProfitLossFromContinuingOperations,1513352984,0
00267979,2019,재고자산,재고자산,ifrs_Inventories,19197899945,1
00267979,2019,매출채권,매출채권,dart_ShortTermTradeReceivable,13599748199,1
00267979,2019,매출채권,기타수취채권,-표준계정코드 미사용-,280711488,0
00141389,2021,매출액,수익(매출액),ifrs-full_Revenue,90841011973,1
00141389,2021,매출액,제품매출액,dart_RevenueFromSaleOfGoodsProduct,74662212420,0
00141389,2021,매출액,상품매출액,dart_RevenueFromSaleOfGoodsMerchandise,15182887020,0
00141389,2021,매출액,이자수익,dart_InterestIncomeFinanceIncome,555111234,0
00141389,2021,매출원가,매출원가,ifrs-full_CostOfSales,68281071213,1
00141389,2021,매출원가,재화의 판매로 인한 수익(매출액)에 대한 매출원가,dart_CostOfSalesFromSaleOfGoods,68281071213,0
00141389,2021,매출원가,제품매출원가,dart_CostOfSalesFromSaleOfGoodsProduct,58452700933,0
00141389,2021,매출원가,상품매출원가,dart_CostOfSalesFromSaleOfGoodsMerchandises,9828370280,0
00141389,2021,매출총이익,매출총이익,ifrs-full_GrossProfit,22559940760,1
00141389,2021,영업이익,영업이익(손실),dart_OperatingIncomeLoss,10335417988,1
00141389,2021,재고자산,재고자산,ifrs-full_Inventories,19623042769,1
00141389,2021,매출채권,매출채권 및 기타유동채권,ifrs-full_TradeAndOtherCurrentReceivables,17969941653,0
00141389,2021,매출채권,매출채권,dart_ShortTermTradeReceivable,15393732299,1
00128555,2017,매출액,매출액,ifrs_Revenue,2384712962090,1
00128555,2017,매출액,상품매출액,ifrs_RevenueFromSaleOfGoods,2349861388071,0
00128555,2017,매출액,제품매출액,-표준계정코드 미사용-,19927252217,0
00128555,2017,매출원가,매출원가,ifrs_CostOfSales,2105520708028,1
00128555,2017,매출원가,상품매출원가,dart_CostOfSalesFromSaleOfGoods,2079012654064,0
00128555,2017,매출원가,제품매출원가,-표준계정코드 미사용-,24268098458,0
00128555,2017,매출원가,기타매출원가,dart_OtherCostOfSales,2239955506,0
00128555,2017,매출총이익,매출총이익,ifrs_GrossProfit,279192254062,1
00128555,2017,영업이익,영업이익,dart_OperatingIncomeLoss,60343277111,1
00128555,2017,재고자산,재고자산,ifrs_Inventories,2667896695,1
00128555,2017,매출채권,매출채권,-표준계정코드 미사용-,359765386667,1
